NTDID,AGENCY,CITY,STATE,UZA,MPO_AREA,MPO_FIPS,MPO_NAME,AGENCY_NAME
90168,City of Roseville,ROSEVILLE,CA,"Sacramento, CA",Sacramento,SACOG,Sacramento Area Council of Governments,Sacramento Area Council of Governments
90169,"vRide, Inc. - Valley Metro",Phoenix,AZ,"Phoenix-Mesa, AZ",Phoenix,MAG,Maricopa Association of Governments,"vRide, Inc. - Valley Metro"
90170,ATC / Vancom,San Francisco,CA,"San Francisco-Oakland, CA",Bay Area,MTC,Metropolitan Transportation Commission,ATC / Vancom
90171,City of Santa Clarita,SANTA CLARITA,CA,"Santa Clarita, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90172,City of Tempe Transit Division - dba Valley Metro,Tempe,AZ,"Phoenix-Mesa, AZ",Phoenix,MAG,Maricopa Association of Governments,City of Tempe Transit Division - dba Valley Metro
90174,City of Benicia,Benicia,CA,"Vallejo, CA",Bay Area,MTC,Metropolitan Transportation Commission,City of Benicia
90178,Laidlaw Transit Services,El Monte,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90179,Ryder/ATE,West Covina,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90185,MTS Contract Services,San Diego,CA,"San Diego, CA",San Diego,SANDAG,San Diego Association of Governments,San Diego Association of Governments
90186,San Francisco Paratransit,San Francisco,CA,"San Francisco-Oakland, CA",Bay Area,MTC,Metropolitan Transportation Commission,San Francisco Paratransit
90188,County of San Diego Transit System,San Diego,CA,"San Diego, CA",San Diego,SANDAG,San Diego Association of Governments,San Diego Association of Governments
90189,National City Transit,National City,CA,"San Diego, CA",San Diego,SANDAG,San Diego Association of Governments,San Diego Association of Governments
90193,Chula Vista Transit,Chula Vista,CA,"San Diego, CA",San Diego,SANDAG,San Diego Association of Governments,San Diego Association of Governments
90196,County of Placer,AUBURN,CA,"Sacramento, CA",Sacramento,SACOG,Sacramento Area Council of Governments,Sacramento Area Council of Governments
